id,year,majortopic,subtopic,title,summary
214,1996,24,2400,"WHITMAN'S BUDGET CALLS FOR A DROP IN STATE SPENDING","new jersey state budget"
215,1996,20,2012,"In Dole's World, She Is the Backstage Power ","bob dole's wife"
216,1996,19,1925,"War Crimes Tribunal on Bosnia Is Hampered by Basic Problems","problems with a war crimes trial"
217,1996,5,500,"Many Exchange a Briefcase For the Sample Case of Sales","many people becoming salesmen"
218,1996,12,1299,"Stepping Out of a Frigid House, Du Pont Heir Is Seized by Police ","man arrested in murder of a wrestler"
219,1996,30,3000,"Joseph Brodsky, Exiled Poet Who Won Nobel, Dies at 55 ","poet dies"
220,1996,5,504,"With Growing Risks, Strikes Reach a Low ","strikes are declining"
221,1996,19,1921,"Argentine Military for Rent; Turns Swords Into Tin Cups","argentine military changes"
222,1996,19,1921,"Ethiopian Jews Riot in Jerusalem","riot over donated blood in israel"
223,1996,10,1003,"FLIGHT TO NOWHERE: A SPECIAL REPORT; AMBITIOUS UPDATE OF AIR NAVIGATION BECOMES A FIASCO","air traffic control system waste"
224,1996,29,2900,"New Hero as Cowboys Win Super Bowl, 27-17 ","cowboys win the super bowl"
225,1996,12,1205,"A Prison Blurs Colors of Gangs To Curb Violence Among Rivals","program to end prison gangs"
226,1996,19,1910,"France Ending Nuclear Tests That Caused Broad Protests","france ending nuclear testing"
227,1996,13,1300,"G.O.P. MAY REVIVE A WELFARE PLAN TO SNARE CLINTON","republicans to push a welfare plan"
228,1996,19,1910,"Saudi Gadfly and British Embarrassment","british government expels a saudi dissident"
229,1996,29,2900,"Johnson Returns to Lakers and Will Play Tonight","magic johnson returns to the NBA"
230,1996,13,1300,"Whitman Plans Welfare Limits And Incentives to Promote Work","welfare reform in new jersey"
231,1996,2,208,"PATAKI IS SEEKING CURBING OF RIGHTS OF CRIME SUSPECTS","new york governor and crime"
232,1996,24,2400,"Giuliani to Propose Merging of Agencies","merging agencies in nyc"
233,1996,12,1208,"Discipline or Abuse? Arrest Renews a Debate","debate over the right of parents to discipline their children"
234,1996,16,1600,"A Secret Agency's Secret Budgets Yield Lost Billions, Officials Say ","national reconnaisance office loses lots of money"
235,1996,24,2400,"Giuliani Wary of Cuts","Guilani's next budget"
236,1996,19,1910,"Disaster for a 204-Year-Old Treasure of Italian Opera","fire destroys an opera house"
237,1996,12,1206,"Prison for Young Killers Renews Debate on Saving Society's Lost","debate over how to deal with child killers"
238,1996,5,504,"Replacements Lift Building Owners in Strike","NYC building worker strike"
239,1996,17,1707,"THE MEDIA BUSINESS; Murdoch Joins a Cable-TV Rush Into the Crowded All-News Field","fox starts a news channel"
240,1996,24,2400,"FEDERAL IMPASSE A STUMBLING BLOCK TO STATE BUDGETS","federal budget crisis is going to hurt state budgets"
