id,year,majortopic,subtopic,title,summary
23448,2003,19,1910,"EUROPEAN UNION CAN'T REACH DEAL ON CONSTITUTION","European union constitution"
23449,2003,23,2300,"No Rest for the Merry","a family chooses a christmas tree"
23450,2003,10,1007,"Political Savvy Gets U.S. Flags On Foreign Ship","cruise ships flying american flags"
23451,2003,16,1619,"THE CAPTURE OF HUSSEIN: THE MOOD;  In the Streets, a Shadow Lifts","Saddam Hussein capture"
23452,2003,16,1619,"THE CAPTURE OF HUSSEIN: EX-DICTATOR;  HUSSEIN CAUGHT IN MAKESHIFT HIDE-OUT; BUSH SAYS 'DARK ERA' FOR IRAQIS IS OVER","Saddam capture"
23453,2003,16,1619,"THE CAPTURE OF HUSSEIN: RECONNAISSANCE;  BETRAYED BY CLAN","Saddam capture"
23454,2003,16,1619,"THE CAPTURE OF HUSSEIN: CONFRONTATION;  Bearing Questions, 4 New Iraqi Leaders Pay Hussein a Visit","Saddam capture"
23455,2003,16,1619,"THE CAPTURE OF HUSSEIN: PUBLIC RELATIONS;  A Careful U.S. Plan To Dispel All Doubt On Hussein's Fate","Saddam capture"
23456,2003,16,1619,"THE CAPTURE OF HUSSEIN: INSURGENCY;  Attacks Go On; Car Bomb Kills 6 Iraqi Officers","car bombs in Iraq"
23457,2003,16,1619,"THE CAPTURE OF HUSSEIN: THE WHITE HOUSE;  With 'Good Riddance' to Hussein, Bush Vows Resolve","Bush press conference on Saddam capture"
23458,2003,20,2004,"Congress to Weigh Easing U.P.S. Role On Pension Funds","pensions for UPS employees"
23459,2003,16,1619,"THE CAPTURE OF HUSSEIN: THE CAPTIVE;  Hussein Tells Interrogators He Didn't Direct Insurgency","Saddam denies directing the insurgency"
23460,2003,12,1299,"Nurse Accused of Slaying Patient Reportedly Admitted 30 Killings","Nurse admits killing 30 patients"
23461,2003,21,2101," INSIDE;  A Vast Museum Opens, Not Without Protest","National Air and Space museum opens"
23462,2003,20,2012,"THE 2004 CAMPAIGN: DEMOCRATIC CONTENDERS;  Dean's Speech On Iraq Brings New Rebuttals","Dean speech on Iraq"
23463,2003,16,1619,"THE CAPTURE OF HUSSEIN: TWO PRESIDENTS;  After 12 Years, Sweet Victory: The Bushes' Pursuit of Hussein","capture of Hussein"
23464,2003,16,1619,"THE STRUGGLE FOR IRAQ: VIOLENCE;  G.I.'s Fight Off Convoy Attack; Raid Iraqi Cell","US troops fighting in Iraq"
23465,2003,20,2099,"THE 2004 CAMPAIGN: THE POLL;  Bush's Approval Ratings Climb In Days After Hussein's Capture","Bush approval ratings climb"
23466,2003,19,1921,"Milosevic Trial Helps Clark Try To Gain Notice","Milosevic trial and Wesley Clark"
23467,2003,19,1906,"THE STRUGGLE FOR IRAQ: FINANCING;  France and Germany Join U.S. In Effort to Reduce Iraq's Debt","France and Germany to help US reduce iraqi debt"
23468,2003,12,1299,"Hospitals Didn't Share Records Of Nurse Suspected in Killings","Nurse who killed 30 patients"
23469,2003,3,321,"A CONTRACEPTIVE CLEARS A HURDLE TO WIDER ACCESS","FDA rules on the morning after pill"
23470,2003,17,1707,"THE MEDIA BUSINESS: ADVERTISING;  New York Magazine Sold for $55 Million To Wall St. Figure","New York Magazine sold"
23471,2003,16,1619,"Bomb Kills 17 in Iraq","bomb in Iraq"
23472,2003,19,1927,"Security Tightened Around the Vatican","warning of terror attacks on christian sites"
23473,2003,21,2101,"A Snowmobile Shift For Park Is Rejected","snowmobile rules in national parks for opening day"
23474,2003,10,1005," Century After Wright Brothers, a Train to J.F.K.","train to plane link in NYC"
23475,2003,20,2011,"Man Who Shot Reagan Allowed To Visit Parents Unsupervised","Reagan's shooter allowed unsupervised visits"
23476,2003,15,1502,"STOCK EXCHANGE IS SAID TO SELECT CHIEF EXECUTIVE","NY stock exchange picks a new chief"
23477,2003,3,335,"States Try to Limit Drugs in Medicaid, ButMakers Resist","drugs limited in medicare in some states"
23478,2003,16,1608,"Christmas Remembrance for Veterans","christmas stuff for veterans"
23479,2003,16,1619,"THE STRUGGLE FOR IRAQ: TERROR CAPTIVES;  Hussein Enters Post-9/11 Web Of U.S. Prisons","Hussein enters US global detention system"
23480,2003,24,2400,"GOVERNOR DEFIES HARTFORD CRITICS","Conn. Governor corruption"
23481,2003,2,201,"Final Word: 'My Father's Name Was James Strom Thurmond'","Strom Thurmond's illegitimate black daughter speaks out"
23482,2003,24,2400,"Ex-Governor Facing Corruption Charges","Illinois governor idicted"
23483,2003,24,2400,"Documents Show Rowland's Ties to a Contractor","Conn governor corruption"
23484,2003,9,900,"Report Cites Detainee Abuse","abuse of illegal immigrants after 9/11"
23485,2003,16,1619,"THREATS AND RESPONSES: THE OVERVIEW;  U.S. COURTS REJECT DETENTION POLICY IN 2 TERROR CASES","court rules bush cannot detain US citizens indefinitely"
23486,2003,15,1502,"Behind-the-Scenes Technocrat Takes Top Billing at Big Board","new head of NY stock exchange"
23487,2003,17,1701,"What No One Has Seen Before","pictures from a space telescope"
23488,2003,19,1921,"Sharon Threatens to Impose Split on Palestinians","Sharon threatens to split from palestinians"
23489,2003,19,1921,"Poland Takes Pride In Assertive Stance Toward Neighbors","Poland becoming more assertive"
23490,2003,21,2101,"Rusting Relics of Ground Zero","relics from ground zero"
23491,2003,12,1299,"2ND SNIPER FOUND GUILTY IN VIRGINIA","2nd sniper found guilty"
23492,2003,16,1605," LIBYA TO GIVE UP ARMS PROGRAMS, BUSH ANNOUNCES","Libya giving up illegal arms programs"
23493,2003,16,1619,"THE STRUGGLE FOR IRAQ: THE HUNT;  How Army Sleuths Stalked the Adviser Who Led to Hussein","the hunt for Saddam"
23494,2003,21,2101,"A Skyscraper Has a Chance To Be Nobler","new skyscraper to be built at ground zero"
23495,2003,2,201,"Thurmond Family Struggles With Difficult Truth","Strom Thrurmonds illegitimate daughter and effect on his family"
23496,2003,1,105,"Ease a Little Guilt, Provide Some Jobs: It's Pork on the Hill","pork in congress"
23497,2003,15,1522,"Court Limits Efforts to Unmask Music Swappers","appeals court rules on anti-music piracy efforts"
23498,2003,21,2101,"1,776-Foot Design Is Unveiled For World Trade Center Tower","new wtc tower"
23499,2003,31,3100,"A Steady Hand for Starting the Festival of Lights","hanukkah"
23500,2003,21,2101," 1,776 Feet? No. 1? Job for Tall Council","new wtc tower"
23501,2003,17,1706,"Lost? Hiding? Your Cellphone Is Keeping Tabs","cellphone with tracking devices"
23502,2003,16,1619,"THE STRUGGLE FOR IRAQ: THE UNDERGROUND;  As a Fugitive, Hussein Stayed Close to Home","Hussein's hiding places"
23503,2003,16,1605,"Secret Diplomacy Won Libyan Pledge on Arms","Libyan pledge to give up wmds"
23504,2003,99,9900,"In Princetonian's Spare Telling, Class of '33 Drifts Into Winter","princeton's class of 1933"
23505,2003,5,501,"A Trench Caves In; a Young Worker Is Dead. Is It a Crime?","death of a worker"
23506,2003,2,202,"STRONG SUPPORT IS FOUND FOR BAN ON GAY MARRIAGE","many support a ban on gay marriage"
23507,2003,6,601,"A Mighty Fund-Raising Effort Helps Lift a College's Ranking","college rankings"
23508,2003,16,1605,"INQUIRY SUGGESTS PAKISTANIS SOLD NUCLEAR SECRETS","pakistan sold nuclear secrets"
23509,2003,5,501,"U.S. Rarely Seeks Charges For Deaths in Workplace","deaths of workers"
23510,2003,23,2300,"Baa. Also Bah.","shopping for christmas"
23511,2003,31,3100,"Off on Yom Kippur? It's Probably Time To Work a Holiday","Jews working on Christmas"
23512,2003,16,1615,"Terror Alert Is Raised to 'High,' Increasing Scrutiny of Travelers","terror alert raised"
23513,2003,17,1707,"Friendship and Business Blur In the World of a Media Baron","a media magnate"
23514,2003,3,302,"MANY SIDES AWAIT DEAL ON INSURER","new deal for insurer in NY"
23515,2003,19,1921,"China Moves to Protect Property, But the Fine Print Has a Caveat","China to Protect Private Property Rights; Boon to Entreprenuerial Class"
23516,2003,20,2012," For Mrs. Clinton, Listening Subsides; Her Talk Is Louder","Hillary Clinton"
23517,2003,12,1299,"A Federal Case for a Teenager: Family Sees Tie to Ex-President","teenager burns a boat belonging to bush"
23518,2003,19,1921,"THE STRUGGLE FOR IRAQ: IRAQI EMOTIONS;  Talk of Tikrit's Favorite Diner: Hatred of Hussein, Fury at U.S.","a diner in Tikrit"
23519,2003,16,1615,"Guns Out in the Harbor","heightened terror alert"
23520,2003,20,2000,"POWELL DEFENDS DIPLOMATIC ROLE","Colin Powell"
23521,2003,5,501,"California Leads Prosecution Of Employers in Job Deaths","deaths of workers"
23522,2003,16,1615,"APPLICANTS RUSH TO MEET DEADLINE FOR SEPT. 11 FUND","9/11 fund deadline"
23523,2003,19,1925,"Together, After Almost 67 Years","reunion of holocaust survivors"
23524,2003,26,2600,"Dash Away! Dash Away! Dash Away All!","warm weather in nyc"
23525,2003,4,405,"U.S. IS EXAMINING A MAD COW CASE, FIRST IN COUNTRY","mad cow disease in the US"
23526,2003,12,1299,"Younger Sniper Given Sentence Of a Life Term","sentence in sniper case"
23527,2003,19,1910,"British Commander Sees Change in Iraq","british general predicts positive change in Iraq"
23528,2003,19,1910,"CORPORATE CONDUCT: THE OVERVIEW;  Parmalat Said To Create Ruse For $11 Billion","scandal in the Parmalat corporation"
23529,2003,19,1921,"Millions of AIDS Orphans Strain Southern Africa","AIDS orphans in Africa"
23530,2003,12,1208,"Around Tree, Smiles Even for Wives No. 2 and 3","divided families and holidays"
23531,2003,2,207,"No Joke! 37 Years After Death Lenny Bruce Receives Pardon","Lenny Bruce pardoned posthumously for obscene public language"
23532,2003,7,705,"Court Blocks U.S. Effort to Relax Pollution Rule","court blocked Bush's plan to relax pollution rule"
23533,2003,4,405,"MAD COW DISEASE IN THE UNITED STATES: THE OVERVIEW;  U.S. SCOURS FILES TO TRACE SOURCE OF MAD COW CASE","Mad Cow disease in the US"
23534,2003,10,1003,"FEARING ATTACKS, OFFICIALS TIGHTEN AIRPORT SECURITY","airport security tightened"
23535,2003,31,3100,"CHRISTMAS IN IRAQ","christmas for US soldiers in Iraq"
23536,2003,19,1921,"Pakistani President Agrees to Give Up Control of Military","Pakistan president gives up military control"
23537,2003,4,405,"MAD COW DISEASE IN THE UNITED STATES: THE RESEARCHER;  Expert Warned That Mad Cow Was Imminent","mad cow disease in the US"
23538,2003,16,1619," G.I. Joes May Be Under Tree, but Not Around It","US soldiers leaving home for iraq"
23539,2003,19,1910,"Law Gives Parmalat Shelter to Reorganize","parmalat given shelter to reorganize"
23540,2003,19,1921,"SUICIDE ATTACKER KILLS 4 IN ISRAEL","suicide attack in israel"
23541,2003,19,1921,"INTERNATIONAL BUSINESS;  Generic Drugs From India Prompting Turf Battles","generic drugs in India"
23542,2003,16,1615,"French Find No Flight-Terror Tie, But American Suspicions Remain","flight canceled after terror warnings"
23543,2003,4,405,"MAD COW DISEASE IN THE UNITED STATES: THE OVERVIEW;  Mad Cow Case Leads Government To Consider Greater Meat Testing","mad cow disease"
23544,2003,16,1619,"Pentagon Gives Airlines a Lifeline With Payments for Moving Troops","pentagon paying airlines to move troops"
23545,2003,19,1921,"Gas Well Explosion and Fumes Kill 191 in China","Gas Well Explosion"
23546,2003,19,1921,"PAKISTANI LEADER ESCAPES ATTEMPT AT ASSASSINATION","assassination attempt in pakistan"
23547,2003,21,2101," After Year of Push and Pull, 2 Visions Met at 1,776 Feet","Freedom tower plans"
23548,2003,31,3100,"marketing to christian audiences","children's animated character subliminally preaching religious lessons"
23549,2003,26,2600,"Powerful Earthquake in Iran Kills Thousands","earthquake in iran"
23550,2003,4,405,"MAD COW DISEASE IN THE UNITED STATES: THE OVERVIEW;  Tracing History Of Infected Cow May Take Time","mad cow disease in the US"
23551,2003,20,2012,"Undaunted by Polls, Faithful Keep Edwards Banner Aloft","John Edwards"
23552,2003,18,1802,"Free Trade Accord at Age 10: The Growing Pains Are Clear","NAFTA turns 10"
23553,2003,16,1612,"National Guard at War at Home To Prepare for Real Thing in Iraq","National guard training to go to iraq"
23554,2003,4,405,"U.S. OFFICIALS SAY ILL COW IS LINKED TO ALBERTA HERD","mad cow disease"
23555,2003,20,2012,"From Patrician Roots, Dean Set Path of Prickly Independence","howard dean"
23556,2003,16,1619,"THE STRUGGLE FOR IRAQ: THE OCCUPATION;  UP TO 13 ARE DEAD IN ATTACKS IN IRAQ","suicide bombings in iraq, American forces targeted"
23557,2003,3,341,"The Smoking Ban: Clear Air, Murky Economics","NYC ban on smoking"
23558,2003,26,2600,"Iran Quake Toll Rises to 25,000; Injured Fill Hospitals, and Streets","earthquake in iran"
23559,2003,17,1709,"We Hate Spam, Congress Says (Except When It's Sent by Us)","spam and congress"
23560,2003,4,405,"Testing Plan Met Resistance","mad cow disease testing"
23561,2003,9,900,"THE NEEDIEST CASES;  Far From China, Helping Hands","chinese immigrants"
23562,2003,16,1619,"THE STRUGGLE FOR IRAQ: POSTWAR REBUILDING;  Halliburton Contracts in Iraq: The Struggle to Manage Costs","halliburton contracts"
23563,2003,19,1901,"Quake Aid Pours Into Stricken Iran City","quake aid in iran"
23564,2003,14,1401,"As Schenectady Rusts, Experts Fear Policy Inertia","problems in Schenectady"
23565,2003,4,403,"U.S. Officials Say Suspect Beef Went To a Wider Region","mad cow disease"
23566,2003,31,3100,"Changes in Episcopal Church Spur Some to Join, Some to Go","episcopal church undergoing changes"
23567,2003,20,2012,"THE 2004 CAMPAIGN: ON THE AIR;  BUSH'S CAMPAIGN FINDS PLATFORM ON LOCAL RADIO","Bush's campaign strategy"
23568,2003,19,1921,"When Chinese Workers Unite, The Bosses Often Run the Union","Chinese labor unions run by company owners and managers"
23569,2003,16,1605,"LIBYA'S ATOM BID IN EARLY PHASES","inspections on nuclear program in libya"
23570,2003,31,3100,"Dispute in Michael Jackson Camp Over Role of the Nation of Islam","michael jackson and the nation of islam"
23571,2003,19,1921,"Musharraf's Quandary","attempted assassinations of pakistan's president"
23572,2003,16,1619,"THE STRUGGLE FOR IRAQ: THE WOUNDED;  A Soldier's Return, to a Dark and Moody World","wounded US army soldiers"
23573,2003,4,403,"Experts Try to Assess Risk From Diseased Cow","dangers of contracting mad cow disease"
23574,2003,10,1003,"AMERICANS ORDER FOREIGN AIRLINES TO USE MARSHALS","americans want other nations to use air marshalls"
23575,2003,6,601,"Colleges Struggle to Help Black Men Stay Enrolled","troubles for black students in college"
23576,2003,19,1921,"Al Qaeda Links Seen in Attacks On Top Saudi Security Officials","al qaeda trying to destabilize saudi government"
23577,2003,1,100,"Democratic Candidates Differ On Economy, but Often Subtly","democratic presidential candidates views on the economy"
23578,2003,16,1619,"How Disappearance in '84 Blighted Family in Iraq","old crimes of saddam hussein's iraq"
23579,2003,3,321,"U.S. TO PROHIBIT SUPPLEMENT TIED TO HEALTH RISKS","ephedra to be banned"
23580,2003,20,2010,"SPECIAL COUNSEL IS NAMED TO HEAD INQUIRY ON LEAK","valerie plame leak investigation"
23581,2003,3,302,"An Operation to Ease Back Pain Bolsters the Bottom Line, Too","medicare and a back procedure"
23582,2003,4,403,"U.S. Issues Safety Rules to Protect Food Against Mad Cow Disease","food safety and mad cow disease"
23583,2003,14,1403,"In Sutton Place's Backyard, Private Oasis on Public Land","exclusive address in NYC"
23584,2003,19,1921,"Afghan Talks Are Strained on 17th Day","afghanistan government"
23585,2004,16,1615,"Celebration, Under Guard","Security against a potential New Year's terrorist attack."
23586,2004,16,1615,"FLIGHT SENT BACK ON TERROR FEAR, U.S. OFFICIALS SAY","Security against a potential New Year's terrorist attack."
23587,2004,16,1619,"Baghdad Bomb Kills at Least 5 At a Restaurant","Insurgency in Iraq, 3 Americans killed by car bomb"
23588,2004,20,2012,"Democrats' Plan for EarlyNominee May Be Costly","Democratic Party 2004 primaries proving unexpectedly bitter."
23589,2004,10,1001,"Study Clears Way For 900 New Cabs; Fares May Increase","Increase in the number of New York taxicabs."
23590,2004,19,1921,"India's Soybean Farmers Join the Global Village","Increased use of Internet in Indian villages."
23591,2004,1,100,"Year's Big Rally Helps Investors Regain Ground","The stock market in 2003; recovery after the technology bubble of 2000."
23592,2004,19,1901,"U.S. Overture to Iran","U.S. offer to send a delegation to Iran to discuss aid after a highly destructive earthquake."
23593,2004,16,1605,"LIBYA PRESSES U.S. TO MOVE QUICKLY TO END SANCTIONS","Libya's demand for U.S. compensation for abandoning its secret-weapons' program."
23594,2004,16,1615,"2 More Flights Are Called Off After Warnings","Fears of terrorist attacks on the New Year."
23595,2004,20,2012,"Past Defeat and Personal Quest Shape Long-Shot Kucinich Bid","Profile of Democratic primary candidate Dennis Kucinich."
23596,2004,29,2900,"Southern California Captures Rose Bowl","Football."
23597,2004,16,1619," In Iraq's Murky Battle, Snipers Offer U.S. a Precision Weapon","U.S. counterinsurgency tactics"
23598,2004,19,1921,"Putin vs. the Jailed Tycoon: Defining Russia's New Rules","Russia under Putin; relationship with the raw-materials tycoons"
23599,2004,6,602,"Some School Districts Challenge Bush's Signature Education Law","No Child Left Behind Legislation; school districts' resistance to the legislation."
23600,2004,15,1502,"Editors' Note;  SPECIAL TODAY -- Outlook","Stock market durability overview"
23601,2004,12,1204,"BACK-ROOM BENCH: Politics and the Courts; A Bronx Judiciary Awash in Patronage, All Legal","New York City judicial system."
23602,2004,16,1615,"British Cancel Another Flight Bound for U.S.","Prevention measures against New Year-period terrorist attack"
23603,2004,19,1901,"IRAN TURNS DOWN AMERICAN OFFER OF RELIEF MISSION","Iran refuses U.S. offer to send a delegation to discuss relief efforts for the victims of a severe earthquake."
23604,2004,16,1605,"Private Group Prepares Visit To North Korea","Unofficial delegation's visit to North Korea; North Korean nuclear program."
23605,2004,19,1921,"To Help Poor Be Pupils, Not Wage Earners, Brazil Pays Parents","Brazilian elementary education promotion programs."
23606,2004,12,1208,"That Parent-Child Conversation Is BecomingInstant, and Online",""
23607,2004,12,1201,"Police-Seized Loot Is Online, and Yes, It's a Steal","New York police launching online auctions for recovered stolen-goods."
23608,2004,16,1603," As Chaplain's Spy Case Nears, Some Ask Why It Went So Far","Chaplain at Guantánamo Bay accused of links to Syrian spy ring; botched foreign espionage prosecutions"
23609,2004,16,1619,"For G.I.'s, Pride in War Efforts But Doubts About Iraq's Future","Morale of U.S. troops in Iraq"
23610,2004,19,1910,"Crash Kills All 148 on Flight From Egypt to Paris","Airplane crash."
23611,2004,19,1921,"India and Pakistan Offer Hint of Thaw","Thaw in India/ Pakistan Conflict"
23612,2004,6,602," Unruly Students Facing Arrest, Not Detention","Formal prosecution of high school students for infractions of school rules."
23613,2004,1,105,"BUSH '05 BUDGET SEEKS TO REIN IN DOMESTIC COSTS","President Bush's budget for fiscal 2005"
23614,2004,16,1605,"From Rogue Nuclear Programs, Web of Trails Leads to Pakistan","Pakistan as hub of technical assistance for aspiring nuclear states."
23615,2004,6,602,"BROAD OVERHAUL OF CITY SCHOOLS CAUSING STRAINS","New York City public schools."
23616,2004,20,2012,"RIVALS IN DEBATE TAKE AIM AT DEAN","Democratic primary."
23617,2004,19,1910,"Blair Visits Troops","British participation in Iraqi occupation and reconstruction."
23618,2004,4,405,"Mad Cow Forces Beef Industry to Change Course","Mad Cow disease in the United States; regulation of beef industry"
23619,2004,17,1701,"Rover Unfurls, Opening New Stage in Exploring Mars","Exploration of Mars."
23620,2004,19,1921,"AFGHAN COUNCIL GIVES APPROVAL TO CONSTITUTION","Post-Taliban constitution in Afghanistan."
23621,2004,16,1619,"Kurdish Region in Northern Iraq Will Get to Keep Special Status","Post-Hussein Iraq; regional autonomy."
23622,2004,19,1921,"A Thaw in South Asia's Cold War","Détente in India-Pakistan cold war."
23623,2004,29,2900,"Rose, in New Book, Admits Betting on His Team",""
23624,2004,6,602,"POLICE TO GUARD 12 CITY SCHOOLS CITED AS VIOLENT","New York City public schools; efforts to combat school violence"
23625,2004,20,2012,"Vermont Auditors Faulted Dean Aide On Contract in '92","a contract dean signed in 1992"
23626,2004,16,1605,"PAKISTAN CALLED LIBYANS' SOURCE OF ATOM DESIGN","Pakistan as hub of technical assistance for aspiring nuclear states."
23627,2004,10,1003,"U.S. Institutes Fingerprinting At Entry Points","Anti-terrorist screening measures at U.S. airports."
23628,2004,17,1701," Mars, and Yes, This IS Rocket Science","Mars Exploration."
23629,2004,15,1520,"Questions Seen On Seed Prices Set in the 90's","Price collusion in agricultural seed industry."
23630,2004,19,1921,"Africa Quandary: Whites' Land Vs. the Landlessness of Blacks","Question of white landowners' continued holding of land in post-apartheid South Africa."
23631,2004,19,1927,"World Opinion Is Fragmented On Tighter Security for Visitors","Anti-terrorist screening procedures at entry points to the U.S.."
23632,2004,9,900,"BUSH WOULD GIVE ILLEGAL WORKERS BROAD NEW RIGHTS","Proposals to regularize status of illegal immigrants in the United States."
23633,2004,21,2101,"Design Selected For a Memorial At Ground Zero","ground zero memorial"
23634,2004,6,602,"Curriculum Switched By City to Reap Aid","New York City schools; federal and state aid to schools."
23635,2004,3,325,"Young Doctors and Wish Lists: No Weekend Calls, No Beepers","Increased numbers of medical students choosing fields where long, irregular hours are infrequent"
23636,2004,20,2011,"A Partner in Shaping an Assertive Foreign Policy","Condoleeza Rice as Secretary of State ."
23637,2004,19,1921,"INDIANS IN DEAL WITH PAKISTANIS FOR PEACE TALKS","Détente in India-Pakistan cold war."
23638,2004,12,1201,"$3 Million Deal In Police Killing Of Diallo in '99","Out-of-court settlement in case of NYC police killing of Amadou Diallo."
23639,2004,24,2400,"Mayor Plans One-Time Rebate Of 18.5% Property-Tax Increase","NYC Mayor Michael Bloomberg's property-tax rebate proposal"
23640,2004,1,107,"A Tax Debate Full of Hazards For Democrats","democrats clash over tax cuts"
23641,2004,29,2900,"In N.F.L.'s Search for Winners, No Old Coach Is Left Unturned","Professional football."
23642,2004,9,900,"Politics at the Border","Proposals to regularize status of illegal immigrants in the United States."
23643,2004,24,2400,"Sorry for Lies, Rowland Asks For Forgiveness","Connecticut Governor corruption scandal."
23644,2004,19,1921,"Never Lost, but Found Daily: Japanese Honesty","Police Run Lost-and-found centers in Japan"
23645,2004,12,1202,"EX-ENRON FIGURE REPORTEDLY NEAR A PLEA OF GUILTY","Trial of Enron executives."
23646,2004,16,1605,"Qaddafi's Surprise: Why a New Stance?","Libya's decreasing confrontation with U.S. and Europe over terrorism sponsorship and WMD research programs."
23647,2004,17,1701,"BUSH WILL OFFER MAJOR INITIATIVE TO EXPLORE SPACE","Space exploration; Mars exploration"
23648,2004,3,300,"Spending on Health Hits a Record Level","Health expenditures in the United States as a proportion of GDP."
23649,2004,3,321,"F.D.A. Defers Final Decision About Implants","FDA deliberations on whether breast implants should be re-authorized for sale."
23650,2004,12,1207,"Boys Choir Founder Faulted for Inaction In Sex Abuse Case","Abuse of children in Boys Choir of Harlem."
23651,2004,6,602," Stricter Standards in New York May Hold 15,000 in 3rd Grade","Stricter elementary school standards"
23652,2004,16,1619,"9 SOLDIERS DEAD IN CRASH IN IRAQ","Helicopter crash in Iraq produces deadliest attack on U.S. troops."
23653,2004,23,2300," Fabled Trove of Faberge Eggs Goes to Auction, Jewels and All","Faberge Easter Eggs from Czarist Russia to be sold at auction."
23654,2004,20,2012,"Seeking Women's Votes, Clark Changes His Style","clark's softer side"
23655,2004,19,1900,"Crash Victims Are Mourned in Egypt","Crash of airplane going from Egypt to France"
23656,2004,20,2012,"Michigan's Online Ballot Spurs New Strategies for Democrats","online ballot for michigan"
23657,2004,17,1701,"For Space Glory, Reach for the Stars, Experts Say","Space exploration"
23658,2004,1,103,"GROWTH IN JOBS GROUND TO HALT DURING DECEMB ER","Employment trends in the U.S."
23659,2004,20,2012,"A Thumbs Up for Dr. Dean","tom harkin endorses dean"
23660,2004,16,1619,"JUSTICES TO HEAR CASE OF CITIZEN HELD AS ENEMY"," at a South Carolina military prison"
23661,2004,19,1921,"Beijing Leaders' Populist Touch Is Not Felt by Most Rural Poor","Rural Poverty in China, Even Under Populist Leadership"
23662,2004,16,1619,"Hussein Given P.O.W. Status; Access Sought","Legal status of captured Saddam Hussein."
23663,2004,20,2012,"Sharpton's Bid Renews Queries Over Finances","al sharpton"
23664,2004,12,1202,"Enron Pleas Collapse","Trial of Enron executives."
23665,2004,16,1619,"Survivor of Somalia and Cancer Dies on Doomed Copter in Iraq","Profile of veteran soldier killed in Iraq."
23666,2004,20,2012,"CAMPAIGN IN IOWA IS CALLED PIVOTAL AND STILL CLOSE","iowa caucuses"
23667,2004,26,2600,"Canadian Cold Leaves the East In an Icy Grip","Extreme cold in the Northeast."
23668,2004,3,331," Cancer 'Prevention' Is Big Seller, But Medical Experts Are Divided","Cancer-prevention techniques."
23669,2004,16,1619,"Challenge for Bootstrap General Is Winning Over the Wary Iraqis","Profile of General in command of U.S. and allies' occupation forces in Iraq"
23670,2004,23,2300,"Who Was That Food Stylist? Film Credits Roll On","Dilating film credits at the end of movies."
23671,2004,5,503," Incentives Lure Many to Quit, Even With a Lean Job Market","Companies' use of retirement packages to encourage resignations among workers in shrinking areas. ."
23672,2004,23,2300,"The Shushing of the Symphony","Decibel limits on orchestras."
23673,2004,20,2012,"Time for Politics","President Bush's re-election campaign."
23674,2004,20,2012,"In Final Debate Before Caucuses, Democrats Tangle on Race Issues","Democratic Primary debates"
23675,2004,24,2400,"Even as Calls Mount to Resign, Rowland Sees Reasons to Stay","Connecticut Governor corruption scandal."
23676,2004,20,2012,"A Journey From a Mill Town Ends With a Run for President","Democratic primary; profile of John Edwards."
23677,2004,2,202," Two Fathers, With One Happy to Stay at Home","Gay households with children."
23678,2004,19,1921,"DIRECT ELECTION OF IRAQ ASSEMBLY PUSHED BY CLERIC","Composition of Iraqi interim assembly to which U.S. wishes to devolve formal sovereignity."
23679,2004,19,1921,"Issue of Israel's Identity","Threats to Israel's status as a Jewish state from high Palestinian birth rates."
23680,2004,19,1921," Overnight, a Towering Divide Rises in Jerusalem"," against Palestinian attacks."
23681,2004,6,602,"Report Faults New York's First 3 Charter Schools","Inadequacies of NY charter schools;"
23682,2004,12,1210,"A Judge's Struggle To Avoid Imposing A Penalty He Hated","Sentencing Laws; limits of judicial discretion."
23683,2004,9,900,"Bush and Fox in Accord","Immigration from Mexico."
23684,2004,7,705,"To Avoid Fuel Limits, Subaru Is Turning a Sedan Into a Truck","Attempts by automaker to circumvent CO2 emission standards by re-classifying its sedan"
23685,2004,20,2012,"The Other Doctor in Dean's House Shuns Politics","Democratic primary, candidates, Howard Dean."
23686,2004,20,2012,"Iowa's Dark Art of Caucusing Is Turning a Bit More Public","Democratic primary in Iowa."
23687,2004,2,299,"JUSTICES ALLOW POLICY OF SILENCE ON 9/11 DETAINEES","Treatment and judicial status of terrorism suspects."
23688,2004,20,2012,"Dean Under Pressure As First Voting Nears","Democratic primary, faltering Dean campaign."
23689,2004,29,2900,"Hockey's Gap-Toothed Grin Fades Into the Past","Changing aesthetics of visible tooth-loss among hockey players."
23690,2004,3,333,"Crackdown Falters As 2 Rulings Favor State's Adult Homes","Absence of sanctions against seriously-deficient homes for the mentally ill New York State"
23691,2004,20,2012,"Pilgrimage to Plains On Iowa Caucus Eve","Democratic primaries, Iowa caucus."
23692,2004,12,1202,"S.E.C. HAS FOUND PAYOFFS IN SALES OF MUTUAL FUNDS","Corporate corruption; mutual funds' collusion with brokerage houses."
23693,2004,3,302,"Democrats See A New Urgency In Health Care","Democratic primaries; health care becomes important again as a prominent issue for Democratic candidates."
23694,2004,20,2012,"Here a Caucus, There a Caucus","Democratic primaries; Iowa caucus."
23695,2004,2,202,"Bush Plans $1.5 Billion Drive For Promotion of Marriage","Same-sex unions; Republican measures against."
23696,2004,12,1202,"Enron Pleas Expected","Enron scandal;  trial."
23697,2004,19,1921,"CANADIANS TO BID ON IRAQ PROJECTS","U.S. drops its exclusion of Canada from reconstruction contracts, exclusion motivated by Canada's opposition to the war."
23698,2004,16,1619,"Hussein Warned Iraqis to Beware Outside Fighters, Document Says",""
